id,date,platform,amount,notes
1,2026-08-22,Meesho Ads,0.08,
2,2026-08-24,Meesho Ads,16.01,
3,2026-08-25,Meesho Ads,250.38,
4,2026-08-26,Meesho Ads,53.77,
5,2026-08-26,Meesho Ads,30.13,
6,2026-08-27,Meesho Ads,451.93,
7,2026-08-27,Meesho Ads,49.28,
8,2026-08-28,Meesho Ads,4.31,
9,2026-08-28,Meesho Ads,0.14,
10,2026-08-28,Meesho Ads,202.88,
11,2026-08-29,Meesho Ads,0.44,
12,2026-08-29,Meesho Ads,256.51,
13,2026-08-30,Meesho Ads,270.87,
14,2026-08-31,Meesho Ads,118.31,
15,2026-09-01,Meesho Ads,212.0,
16,2026-09-02,Meesho Ads,136.16,
17,2026-09-03,Meesho Ads,0.24,
18,2026-09-03,Meesho Ads,250.14,
19,2026-09-04,Meesho Ads,394.47,
20,2026-09-05,Meesho Ads,306.17,
21,2026-09-06,Meesho Ads,401.28,
22,2026-09-07,Meesho Ads,98.87,
23,2026-09-08,Meesho Ads,77.75,
24,2026-09-09,Meesho Ads,100.31,
25,2026-09-12,Meesho Ads,351.3,
26,2026-09-13,Meesho Ads,317.17,
27,2026-09-14,Meesho Ads,243.97,
28,2026-09-15,Meesho Ads,262.41,
29,2026-09-16,Meesho Ads,332.49,
30,2026-09-17,Meesho Ads,316.36,
