id,sl_no,date,type,amount,running_balance
1,1,2026-07-22,Debited,20000.0,-20000.0
2,2,2026-08-06,Debited,10000.0,-30000.0
3,3,2026-08-06,Debited,47565.0,-77565.0
4,4,2026-08-07,Debited,43000.0,-120565.0
5,5,2026-09-09,Credited,960.84,-119604.16
6,6,2026-09-10,Credited,1778.99,-117825.17
7,7,2026-09-11,Credited,30.29,-117794.88
8,8,2026-09-14,Credited,2298.0,-115496.88
9,9,2026-09-15,Credited,1492.01,-114004.87
10,10,2026-09-16,Credited,39.3,-113965.57
11,11,2026-09-17,Credited,1154.35,-112811.22
