id,date,style_no,inventory,purchase_rate,total_value
1,2026-08-14,DE26030B,10,205.0,2050.0
2,2026-08-14,DE26030M,10,205.0,2050.0
3,2026-08-14,DE26030R,10,205.0,2050.0
4,2026-08-18,DE26001G,17,219.0,3723.0
5,2026-08-18,DE26001P,7,219.0,1533.0
6,2026-08-18,DE26001R,6,219.0,1314.0
7,2026-08-18,DE26001Y,6,219.0,1314.0
8,2026-08-18,DE26002M,11,235.0,2585.0
9,2026-08-18,DE26002N,8,235.0,1880.0
10,2026-08-18,DE26002R,11,235.0,2585.0
11,2026-08-18,DE26003B,15,219.0,3285.0
12,2026-08-18,DE26003W,15,219.0,3285.0
13,2026-08-20,DE26004N,6,219.0,1314.0
14,2026-08-20,DE26004R,12,219.0,2628.0
15,2026-08-20,DE26004Y,6,219.0,1314.0
16,2026-08-20,DE26005M,10,235.0,2350.0
17,2026-08-20,DE26005N,10,235.0,2350.0
18,2026-08-20,DE26005R,10,235.0,2350.0
19,2026-08-20,DE26077N,6,220.0,1320.0
20,2026-08-20,DE26077R,12,220.0,2640.0
21,2026-08-20,DE26077Y,6,220.0,1320.0
22,2026-08-22,DE26016B,10,235.0,2350.0
23,2026-08-22,DE26016R,10,235.0,2350.0
24,2026-08-22,DE26050B,10,235.0,2350.0
25,2026-08-22,DE26063B,3,219.0,657.0
26,2026-08-22,DE26063W,17,219.0,3723.0
27,2026-08-26,DE26006B,10,235.0,2350.0
28,2026-08-26,DE26006R,10,235.0,2350.0
29,2026-08-26,DE26009B,13,225.0,2925.0
30,2026-08-26,DE26009G,12,225.0,2700.0
31,2026-08-26,DE26009P,22,225.0,4950.0
32,2026-08-26,DE26009Y,13,225.0,2925.0
33,2026-08-28,DE26003W,15,219.0,3285.0
34,2026-08-28,DE26007B,15,235.0,3525.0
35,2026-08-28,DE26007N,7,235.0,1645.0
36,2026-08-28,DE26007R,8,235.0,1880.0
37,2026-08-29,DE26008B,10,235.0,2350.0
38,2026-08-29,DE26008K,10,235.0,2350.0
39,2026-08-29,DE26008R,10,235.0,2350.0
40,2026-08-29,DE26081M,10,235.0,2350.0
41,2026-08-29,DE26081N,10,235.0,2350.0
42,2026-08-29,DE26081R,10,235.0,2350.0
43,2026-09-07,DE26077Y,6,220.0,1320.0
