id,rto_id,date,style_no,quantity,sale_price,reversed_revenue,courier_fee,status,received_date,restocked_date,tracking_no,notes
1,RTO-001,2026-08-27,DE26001G,1,290.29,290.29,0.0,Received,2026-09-02,,Valmo AWB-VL0085213664223,
2,RTO-002,2026-08-30,DE26003W,1,298.79,298.79,0.0,Received,2026-09-08,,Valmo AWB-VL0085222732870,
3,RTO-003,2026-09-03,DE26003B,1,318.7,318.7,0.0,Received,2026-09-09,,Valmo AWB-VL0085241882758,
4,RTO-004,2026-09-03,DE26003W,1,295.65,295.65,0.0,Received,2026-09-09,,Valmo AWB-VL0085266813793,
5,RTO-005,2026-09-08,DE26005N,1,271.06,271.06,0.0,Received,2026-09-12,,Delhivery AWB-1490840673301335,
6,RTO-006,2026-09-09,DE26077R,1,283.82,283.82,0.0,Received,2026-09-15,,Shadowfax AWB-SF3971309323FPL,
7,RTO-007,2026-09-11,DE26077R,1,280.98,280.98,0.0,Received,2026-09-16,,Valmo AWB-VL0085333829768,
8,RTO-008,2026-09-11,DE26077Y,1,280.98,280.98,0.0,In Transit,,,Valmo AWB-VL0085314455419,
9,RTO-009,2026-09-12,DE26077Y,1,318.52,318.52,0.0,In Transit,,,Delhivery AWB-1490840626797244,
10,RTO-010,2026-09-16,DE26001Y,1,298.73,298.73,0.0,In Transit,,,Xpress Bees AWB-134096122914427,
