id,sl_no,date,style_no,quantity_sold,selling_price,total_revenue,unit_purchase_cost,cogs,profit,profit_margin,reference
1,1,2026-08-21,DE26003W,2,335.85,671.7,219.0,438.0,233.7,0.3479,Direct Sale
2,2,2026-08-24,DE26001G,2,290.285,580.57,219.0,438.0,142.57,0.2456,Direct Sale
3,3,2026-08-24,DE26001Y,1,298.73,298.73,219.0,219.0,79.73,0.2669,Direct Sale
4,4,2026-08-24,DE26003B,2,317.515,635.03,219.0,438.0,197.03,0.3103,Direct Sale
5,5,2026-08-24,DE26003W,5,303.026,1515.13,219.0,1095.0,420.13,0.2773,Direct Sale
6,6,2026-08-24,DE26004R,1,299.68,299.68,219.0,219.0,80.68,0.2692,Direct Sale
7,7,2026-08-24,DE26030B,1,280.9,280.9,205.0,205.0,75.9,0.2702,Direct Sale
8,8,2026-08-25,DE26003W,3,298.79,896.37,219.0,657.0,239.37,0.267,Direct Sale
9,9,2026-08-26,DE26030B,1,315.37,315.37,205.0,205.0,110.37,0.35,Direct Sale
10,10,2026-08-27,DE26003B,1,318.7,318.7,219.0,219.0,99.7,0.3128,Direct Sale
11,11,2026-08-27,DE26003W,1,316.6,316.6,219.0,219.0,97.6,0.3083,Direct Sale
12,12,2026-08-27,DE26004R,1,305.52,305.52,219.0,219.0,86.52,0.2832,Direct Sale
13,13,2026-08-27,DE26004Y,1,306.27,306.27,219.0,219.0,87.27,0.2849,Direct Sale
14,14,2026-08-28,DE26003B,1,319.77,319.77,219.0,219.0,100.77,0.3151,Direct Sale
15,15,2026-08-28,DE26003W,3,318.4667,955.4,219.0,657.0,298.4,0.3123,Direct Sale
16,16,2026-08-28,DE26030R,1,281.66,281.66,205.0,205.0,76.66,0.2722,Direct Sale
17,17,2026-08-29,DE26003B,1,319.93,319.93,219.0,219.0,100.93,0.3155,Direct Sale
18,18,2026-08-29,DE26003W,2,307.36,614.72,219.0,438.0,176.72,0.2875,Direct Sale
19,19,2026-08-29,DE26030R,1,282.14,282.14,205.0,205.0,77.14,0.2734,Direct Sale
20,20,2026-08-29,DE26063B,1,281.93,281.93,219.0,219.0,62.93,0.2232,Direct Sale
21,21,2026-08-29,DE26077Y,2,307.57,615.14,220.0,440.0,175.14,0.2847,Direct Sale
22,22,2026-08-30,DE26003W,3,295.65,886.95,219.0,657.0,229.95,0.2593,Direct Sale
23,23,2026-08-30,DE26063W,1,295.65,295.65,219.0,219.0,76.65,0.2593,Direct Sale
24,24,2026-08-30,DE26077R,1,297.0,297.0,220.0,220.0,77.0,0.2593,Direct Sale
25,25,2026-08-31,DE26003W,2,317.805,635.61,219.0,438.0,197.61,0.3109,Direct Sale
26,26,2026-08-31,DE26005M,1,307.33,307.33,235.0,235.0,72.33,0.2353,Direct Sale
